\lesdotor,vector space,linear transformation,submodule,exact sequence,normed space
\gesdotol,Riemann zeta function,derivative of Dirac delta function,localization operator,distribution valued function,weak derivative
\lessapprox,approximately equal to,less than approximately,slightly less than,approximately smaller than,approximately beneath
\gtrapprox,approximation,greater approximation,comparison,population genetics,phylogenetics
\lneq,inequality,linear system,logic,mathematics
\gneq,not equal to,non simultaneously,admission control algorithm,flow-dependent,feasibility condition
\lnapprox,diffeomorphism,approximate equality,logarithmic mean inequality,nearly equal,logarithmic average
\gnapprox,almost equal to,approximation,nearly equal to,mathematical approximation,approximately
\lesseqqgtr,inequality,order relation,real numbers,vector space,polynomial
\gtreqqless,geometric mean inequality,inequality,less-equal,less-greater,equivalence
\lsime,approximation,statistical dependence,upper star category,approach map,approximate categorical centre
\gsime,group,general,globalcoeff,wurzelabschätzung,globalinvestor
\lsimg,logic synthesis,low shot image segmentation,lane segmentation,image segmentation,logical segmentation
\gsiml,inequality operator,approximation symbol,physics symbol,mathematical expression,statistical model
\lgE,Legendre's elliptic integral of the second kind, Legendre's elliptic integral of the third kind, Legendre polynomial, Legendre's constant, Legendre symbol
\glE,generalized Laguerre equation, generalized Lorenzini breakage function, generalized Langevin equation, generalized Lorenzini breakage, generalized Lorenzini breakage rate
\lesges,inequality,relation,graph,theorem,algebra
\gesles,trace,dag,Mod,ssm,map
\eqslantless,inequality symbol,mathematics order relation,less or equal,skew field order,noncommutative division algebra
\eqslantgtr,relation,symbol,inequality,estimated,greater than,less than
\elsdot,dot product,euclidean distance,vector projection,projection operator,vector dot product
\egsdot,inner product,graph spectrum,graph short-term,matrix diffusion,unweighted graph
\eqqless,inequality,equivalence relation,side equal,length,less than
\eqqgtr,relation,inequality,comparison,order mathematics mathalg
\eqqslantless,inequality,mathematics,relation,less than or equal to,symbol
\eqqslantgtr,relation symbol, mathematical operator, inequality symbol, comparison operator, math symbol
\simless,relation, inequality, operation, estimate, function
\simgtr,inequality,subset,ordering relation,relation sign.
\simlE,almost equal to,smaller and equal to,smaller and not equal to,larger and equal to,larger and not equal to
\simgE,Laplace operator, fourier transform, rank, equivalence relation, expectation
\Lt,less than,latent tuberculosis,intradermal injected volume of tuberculin,leukocyte temperature coefficient,error in a linear transformation
\Gt,geometric transformation,greater than,family of transformations,vector comparison,model fitting
\partialmeetcontraction,partialmeetcontraction,partialmeetcontraction,partialmeetcontraction,partialmeetcontraction,partialmeetcontraction
\glj,Gaussian L-J potential,pair potential parameter,12-6 potential"mathcal{L}-jet algorithm",generalized Landau-Lifshitz-Jackson equation
\gla,group,logarithmic decrement,Abelian group,general linear algebra,braid group
\ltcc,linear time temporal logic,linear time case complexity,linear time computation,linear time complexity,low temperature co-fired ceramic
\gtcc,group-theoretic cohomology class,geometric transition configuration change,global Transport Communication Control,gain time controllability constraint,generalized tropical cycle class
\lescc,inequality,relation,ordering,set,category
\gescc,chemical potential,nematic director tensor,heating rate,heat capacity at constant pressure,heat capacity at constant volume
\smt,state moful theory, simple matrix theory, single molecule tracking
\lat,latitude, correlation coefficient, dilatation, csgroup
\smte,symmetric tensor,semidefinite,spanning tree,statistical model swirl
\late,comprehensive error,convergence criteria,complement rule,center of resistance,charged exciton
\bumpeqq,intersection,wavy curvature,not quantitatively palatable,detect isolated singular points,stable under small perturbations
\preceq,inequality relation, ordered pair, partially ordered set, preorder, preorder relation
\succeq,sufficient,eigenvalue,wave function,upper bound,inequality
\precneq,inequality relation,not precede,not equal,not subelement,not before
\succneq,successor inequality,successor notation,successor node,successor symbol
\preceqq,relation,order,preorder,mathematical notation,partial order
\succeqq,equivalence relation,mathematical objects,image operators,vector spaces
\precneqq,precedes and not equivalent,precedes and not equivalent,precedes and not equivalent,precedes and not equivalent,precedes and not equivalent
\succneqq,relation in set theory,number theory modulo,natural number inequality,non-equal successor relation hyperoperation,successor modulo inequality
\precapprox,inequality,approximation,partial order,precedes,subset
\succapprox,successor approximation,successor approximation algorithm,successor approximation method,successor approximation error
\precnapprox,relation symbol, approximation symbol,relation symbol,relation symbol,error bound
\succnapprox,successor not approximately equal to,successor not approximately equal to symbol,successor not approximately equal,successor not approximately equal symbol
\Prec,precision,precipitation,precondition,precolumn,precomputed
\Succ,successor,successive increment,successive possibilities,successively,successive cardiac imaging
\subsetdot,subset,subgroup,subspace,subsemigroup,subring
\supsetdot,supset, supseteq, supsetneq, supsetneqq, supseteqqsubseteq, supseteqq succ eq, supseteqcc, supsetnsubseteq, supsetnsim
\subsetplus,proper subset (exclusive),proper subset,subset,strict subset,non-strict subset
\supsetplus,superseded by,superscript plus,super plus,superior plus,superior added
\submult,subset,multicast,submultiplicativity,submultiple,submultiplexer
\supmult,supremum,multiplicity,supporting multicast,supermultiplexing,supermultiplet
\subedot,differential geometry,boundary operator,representing rotation,vector potential,polarizability
\supedot,supervised learning,supervised algorithm,supertensor,superdiagonal of a matrixandFilterWhere
\subseteqq,subset,probability space,uniform distribution,statistical hypothesis,test statistic
\supseteqq,subset,proper superset,nested family,set inclusion,containment
\subsim,subspace,subsample,subscript,subfield,submodule
\supsim,Regulatory framework,land use planning,equilibrium model decision,urban growth model,forecast error
\subsetapprox,subcollection,approximation,subgroup,subsetcoefficients,subsetsimilarity
\supsetapprox,containment,subsetneq,not subshift,contour integrals,least fixed point
\subsetneqq,subsetneq,subsetnsubseteq,subsetneqsubseteq,subsetneqnsubseteq,subsetneqsubsetneq
\supsetneqq,proper superset,strict superset,superset that is not equal,set containment,not equal and subset
\lsqhook,inner product, bra-ket notation, quantum mechanics, physics, quantum information
\rsqhook,vector derivative,elementwise multiplication,vector cross product,vector multiplication,matrix multiplication,elementwise power
\csub,convolutional subnetwork,classical subtraction,center sublattice,canonical subproblem,cohesive subgraph
\csup,superscript,superellipsoid surface,superelliptic function,superconducting wire,superconducting transition
\csube,matrix,subgroup,closure,subspace,enumerate
\csupe,supercategory,superfield,superficial"bytes,superconductor
\subsup,subscript, superscript, sub-subscript, super-superscript, sub-superscript
\supsub,subscript,superposition,superset,superstring,superconductor
\subsub,subsubsection,subsub,subsubsections,subsubshell,subsubspace
\supsup,superscript,superficial supervenience,superstar algorithm,superdense coding
\suphsub,subharmonic function,superharmonic function,harmonic function,superharmonic solution,subharmonic solution
\supdsub,partial derivative,superderivative,derivative operator,super-D,differential operator
\forkv,vector,field,fluid dynamics,nonlinear system,engineering mathematics
\topfork,normative,interpretive,literary,philosophical,theoretical
\mlcp,complementarity,linear complementarity problem,complementarity function,complementarity condition,complementarity problem
\forks,cutlery,kitchen,utensils,dining,silverware
\forksnot,covariant derivative,Christoffel symbol,curvature tensor,Levi-Civita connection,affine connection
\shortlefttack,vector,sum,basis,function,module
\shortdowntack,trace,perpendicular,disjoint,monotone,proximate
\shortuptack,dot product,vector projection,component of a vector,vector component,scalar projection
\perps,orthogonal, perpendicular, perpendicular line, perpendicular bisector, perpendicular distance
\vDdash,vector magnitude,vector direction,vector sum,vector product,vector space
\dashV,König's lemma, edge-cut, graphical invariant, treewidth算
\Dashv,models, orthogonality, turnstile, entailment, logic
\DashV,orthogonal,direct sum,covariant derivative,orthonormal basis,unit vector
\varVdash,turnstile symbol, forcing relation in model theory, syntactic entailment in proof theory, compatibility relation in set theory, satisfaction relation in modal logic
\Barv,vector,variable,version,function,behavior
\vBar,norm,abracket, abar, adj, amubar
\vBarv,norm,inner product,norm of v,vector,volume
\barV,velocity vector,intrinsic volume depth,upper bound for the privacy budget,normalized velocity vector,individual velocity profile
\Vbar,norm of a vector,conditional expectation,average value,upper bound,vector norm
\Not,negation,nonlinear,optimal,normal,noise
\bNot,negation,logic gate,value assignment,excluded middle,complement
\revnmid,intersection,midpoint,contains,contains in,metallicity
\cirmid,equilateral triangle,semicircle,quadrilateral,ring,metal rod
\midcir,diameter,radius,arc,angle,center
\topcir,group, subset, topology, category theory, object
\nhpar,,hyperbolic parallel  
\parsim,parameter,approximate parameter,probability parameter,thermal parameters,population parameter
\interleave,binary relations,ordered pair,quantifier logic,wedge product,vector space
\nhVvert,norm, partial derivatives, operator, gradient, expectation
\threedotcolon,vector representation,belongs to,defines relation,linear transformation,direct product
\lllnest,flow analysis,computational fluid dynamics,navier-stokes equations,mathematical model,grid generation
\gggnest,number theory, mod, congruent, modular arithmetic, encryption
\leqqslant,inequality relation,less or equals,q-least value,finite fields,logic gate
\geqqslant,inequality, equation, non-standard, inequation, relationship
\trslash,eddy-current testing,iterative deepening,depth-first search,weighted voting system,global sensitivity analysis
\biginterleave,set partitions,parallel composition operator,concurrency operator,bisimulation relation,interleaving operation
\sslash,subset,block diagonal matrix,black-scholes model,likelihood ratio,test statistic
\talloblong,ellipse, geometry, mechanics, physics, mathematics
\bigtalloblong,figure,effect,problem,results,method
\squaretopblack,optimization problem,optimization that arises,  include a constraint,dominant optimization approach,approximation algorithm
\squarebotblack,symbolic dynamics,inverse limit space,topological Markov chain,block presentation,sofic shift
\squareurblack,orthorhombic system,hexagonal lattice,tetragonal structure,ideal square well potential
\squarellblack,angle,kernel,ideal,vector space,function
\diamondleftblack,relation, record, symbolic represention, set 
\diamondrightblack,ray,line segment,vector,arrow,function
\diamondtopblack,flat extension,ordered set,generic point,auxiliary set,upper limit
\diamondbotblack,diamond black, diamond botblacktail, diamond botblackeyes, diamond botblackmouth, diamond botblackeyesandmouth
\dottedsquare,square matrix,A dot with a square matrix,A 3x3 dottedsquare matrix,dottedsquare matrix product-used in quantum computing,weighted dottedsquare matrix
\lgblksquare,boundary condition,black-square grid,boolean variable,logarithmic grid,local group leader
\lgwhtsquare,expectation,area,temperature,pressure,time
\vysmblksquare,geometric sequence,black-square bullet,ciphertext,block cipher,block diagram
\vysmwhtsquare,orthogonal matrix,unitary matrix,adjoint operator,hermitian operator,symmetric matrix
\pentagonblack,polygon,geometry,mathematical symbol,regular,regular polygon
\pentagon,interior angle,geometry,regular polygon,graph theory,dihedral group
\varhexagon,regular \varhexagon,hexagon tile,center \varhexagon,{\varhexagon overlay,regular tiling of hexagon
\varhexagonblack,area,geometry,graph theory,tiling,computer science
\hexagonblack,regular polygon,geometry,mathematics,SHA-2,graph theory
\lgblkcircle,indicator function,black circle,logical conjunction,greatest common divisor,linking number
\mdblkdiamond,group theory,quantum information theory,block cipher cryptography,graph theory,mathematics
\mdwhtdiamond,center-of-mass,quantum information science,lattice surgery,error-correcting codes,resource theory
\mdblklozenge,converges,estimate,error,semiconvergent,inequality
\mdwhtlozenge,diamond operator, quantum gates, quantum circuits, measurement outcome, computational complexity
\smblkdiamond,variance,covariance,radical,determinant,vector
\smblklozenge,geometric algebra,diamond operator,metric duality,gaussian integral,volume element
\smwhtlozenge,support,response error rate,confidence interval,statistical significance,robust estimator
\blkhorzoval,area,surface,ellipse,oval,block
\whthorzoval,polar vortex,weather forecasting,persistent anomaly,atmospheric phenomenon
\blkvertoval,shift vertical block,create vertical block,vertical block的alignment
\whtvertoval,center of mass,angle of rotation,distance between two points,vector direction,angular velocity
\circleonleftarrow,arrow symbol,counter-clockwise direction,rotation transformation,mathematical operations,group theory
\leftthreearrows,three-way comparison,three-way decision,three-way tie
\leftarrowonoplus,vector,arithmetic operation,function definition,tensor,complex number
\longleftsquigarrow,implication, mathematical function definition, mathematical set definition, logical deduction, mathematical transformation
\nvtwoheadleftarrow,long exact sequence,short exact sequence,complex,exact diagram,short sequence
\nVtwoheadleftarrow,arrow from A to B, group cohomology, inertial manifolds, neighborhood of the origin in R^n
\twoheadmapsfrom,mapping one-to-one,functions injective,surjective functions,sets correspondences,function bijective
\twoheadleftdbkarrow,arrow.
\leftdotarrow,vector,hit point,target,starting point,arrow sign
\nvleftarrowtail,relation,arrow,category theory,functor,mathematical statement
\nVleftarrowtail,relation symbol,mathematical symbol,arrow relation,commutative algebra,category theory
\twoheadleftarrowtail,injective function,maps to equivalence class,maps to element of the quotient set,arrow composition,map of relations
\nvtwoheadleftarrowtail,hooked two-headed left arrow with tail, long hooked two-headed left arrow,two-headed left arrow with tail,long two-headed left arrow,left two-headed arrow
\nVtwoheadleftarrowtail,long exact sequence,commutative diagram,homotopy pullback square,loop space map,relative homotopy exact sequence
\leftarrowx,vector,matrix,eigenvector
\leftcurvedarrow,rotation, curved path, vector field analysis, cyclic process, curved trajectories
\equalleftarrow,function equality,assignment operator,mathematical equivalence,conditional statement indication,algorithm step indicator
\bsimilarleftarrow,leftarrow,rightarrow,doublearrow,uptoarrow,swarrow
\leftarrowbackapprox,approximation,convergence,linear regression,error analysis,backtracking
\rightarrowgtr,vector,convergence,greater than,length,limit
\rightarrowsupset,image graph,lemma statement,function domain,arrow implies stand-alone,formula representation
\LLeftarrow,implication,maplet,surjective,morphisms,injective
\RRightarrow,implies,logic,proof,theorem,corollary
\bsimilarrightarrow,vector similarity, linear transformation similarity, similarity mapping, vector equivalence relation, arrow similarity
\rightarrowbackapprox,approximation back arrow,approximation from right to left,functional arrow,backward convergence,backward approximation
\similarleftarrow,isomorphic,congruent,approximately equal,similar rough magnitude,similar triangles
\leftarrowapprox,approximation,\leftarrowapproximation,roughly equal to,approximately equal to,approximated by
\leftarrowbsimilar,equivalence relation,congruence relation,congruent modulo,mathematical similarity,fractional congruence
\rightarrowbsimilar,arrow,mathematics mathematical operation,similar objects,algebraic equivalence pair,limit approach formula
\medwhitestar,Onto,medwhitestar,categories,
multitarget respectivity,mark,fexpo
\medblackstar,rating system,informational symbol,data visualization,highlighting,mathematical symbol
\smwhitestar,white dwarf,stellar model,stellar population,white dwarf companion,white dwarf stars
\rightpentagonblack,pentagon,mathematical symbol,geometry,shape,design
\rightpentagon,angle,area,coordinate geometry,dilation,polygon
\postalmark,zip code,postage symbol,mail sorting,postal service,postal system
\hzigzag,line,structure,time-frequency representation,graph signal processing,pattern recognition
\mathbf{A},matrix,vector,algebra,operator,gradient
\mathbf{B},magnetic field, magnetic flux density, amplitude of a magnetic field, set of Borel measurable subsets, Borel \sigma-algebra
\mathbf{C},c,cosine,complex number,specific heat capacity,center
\mathbf{D},derivative,divergence operator,differential operator,vector field,material derivative
\mathbf{E},electric field,vector field,expectation operator,energy operator,Young's modulus
\mathbf{F},force,function,field,flux,frequency
\mathbf{G},matrix,vector,group,graph,function
\mathbf{H},Hamiltonian matrix, magnetic field, Hubble parameter, magnetic susceptibility, electron spin
\mathbf{I},identity matrix, current in a circuit, current density vector, moment of inertia tensor, moment of inertia matrix
\mathbf{J},Jacobian matrix, total angular momentum, Bessel function of the first kind, Jacobson radical, Bessel function
\mathbf{K},matrix,kernel,constant,kinetic energy,Kirchhoff's law
\mathbf{L},angular momentum, Lagrangian, magnetic quantum number, moment of inertia, Laplacian
\mathbf{M},matrix, magnetic field, moment, modulus, morphology
\mathbf{N},normal force,natural numbers,Newton,sample size,normal distribution
\mathbf{O},matrix,origin,operator,observation,orthogonal
\mathbf{P},probability,distribution,function,precondition,vector
\mathbf{Q},matrix,quaternion,quadratic,fraction,quantum
\mathbf{R},real numbers,vector space,radius,rotation matrix,Riemann curvature tensor
\mathbf{S},stress tensor,state space,subgroup,symmetry group,submodule
\mathbf{T},transformation matrix,temperature,torque,tension,tensor
\mathbf{U},vector,operator,unitary matrix,uncertainty,upper bound
\mathbf{V},vector,velocity,velocity field,velocity vector,velocity gradient
\mathbf{W},vector space,rotation matrix,work function,diffeomorphism
\mathbf{X},matrix, vector, random variable, tensor, data
\mathbf{Y},matrix,vector,hyperplane,random variable,field
\mathbf{Z},integer,set of integers,z-axis,group of integers,domain of integers,coordinate axis
\mathbf{a},acceleration,position vector,gravitational acceleration,velocity vector,magnetic field
\mathbf{b},basis vector, magnetic field, bias, block matrix, beta
\mathbf{c},vector,constant,covariance,circle,function
\mathbf{d},derivative,differential,decimal number,decimal point,vector difference
\mathbf{e},vector,unit vector,vector space,exponential function,eigenvector
\mathbf{f},vector,force function,field variable,probability density function,acceleration
\mathbf{g},gravity,acceleration vector,Green's function denoting gravity,gravitational field strength,gravitational constant
\mathbf{h},height,hamiltonian,heat transfer,helicity,hard thresholding
\mathbf{i},imaginary unit,unit vector,identity matrix,ion current vector,initial position vector
\mathbf{j},vector,imaginary unit,frequency,angular momentum,current
\mathbf{k},wave number,vector,unit vector,wavenumber,curvature vector
\mathbf{l},vector,likelihood,loss function,lower bound,logarithmic function
\mathbf{m},matrix,minimum distance,modulus,molecular mass,material properties
\mathbf{n},normal vector,nth element,natural number,unit normal vector,orthonormal basis
\mathbf{o},vector,point,power series,function,origin
\mathbf{p},momentum,vector,position,probability,pressure
\mathbf{q},position,vector,quantity,variable,quantity symbol
\mathbf{r},position vector, radius vector, position function, displacement vector, force vector
\mathbf{s},vector,scalar,subspace,solution,sequence
\mathbf{t},time,temperature,torque,tension,tensor
\mathbf{u},vector,unit vector,velocity,acceleration,displacement
\mathbf{v},vector,velocity,velocity field,velocity vector,normalized version
\mathbf{w},vector,weight,work,angular velocity,tangent vector
\mathbf{x},vector,variable,point,coordinate,function
\mathbf{y},vector, bold symbol, equation, model, linear regression
\mathbf{z},vector,complex number,position,coordinates,tensor
\mathit{A},area,acceleration,amplitude,action,algebra
\mathit{B},set,B-field,modulation index,block matrix,modulus
\mathit{C},curvature, concentration, charge, confidence, capacitance
\mathit{D},derivative, Jacobian matrix, material derivative, exterior derivative, D operator
\mathit{E},energy, error, expectation, elliptic integral, electric field
\mathit{F},force,field,flux,function,frequency
\mathit{G},group,gravity,Green's function,group theory,generator
\mathit{H},Hamiltonian, Hilbert space, hydrogen atom, Hermitian matrix, Hermitian operator
\mathit{I},inertia,imaginary unit,electric current,impulse,intensity
\mathit{J},Jacobian, Jacobian matrix, Bessel function, joint probability, joint distribution
\mathit{K},kinetic energy,kelvin,conductivity constant,catalytic rate constant,wave number
\mathit{L},Lagrangian function, length, angular momentum, likelihood function, loss function
\mathit{M},magnitude,mass,modulus,moles,molar concentration
\mathit{N},integer,variable,number,nucleus,natural number
\mathit{O},order,orbit,operator,orthogonal,observable
\mathit{P},probability,density function,pressure,permutation matrix,projection matrix
\mathit{Q},quantity,quantity-dependent variable,quadratic form,quaternion-based controller,quasar
\mathit{R},radius,real numbers,rotation matrix,relation,run-time
\mathit{S},set,scalar,vector,space,function
\mathit{T},temperature,time period,torque,torsion constant,true positive
\mathit{U},energy, potential, utility, uncertainty, utility function
\mathit{V},velocity,volume,voltage,viscosity,vertical
\mathit{W},work,weight,width,weak,well
\mathit{X},variable, matrix, vector, function, coordinate
\mathit{Y},output power, yield stress, yield strength, yield load, yield locus
\mathit{Z},impedance,partition function,atomic number,coordinate axis,independent variable
\mathit{a},acceleration, area, alpha, amplitude, average
\mathit{b},parameter, constant, variable, function, equation
\mathit{c},speed of light,conductance,specific heat capacity,light speed,specific heat
\mathit{d},derivative,distance,differential,equation,small change
\mathit{e},Euler's number, error term, expectation value, eccentricity, elastic modulus
\mathit{f},function,variable,vector,matrix,derivative
\mathit{g},acceleration due to gravity,statistical coupling constant,conductance,geometric mean distance,gyromagnetic ratio
\mathit{i},imaginary unit, index of a sequence, specific variable, current intensity, inertia constant
\mathit{j},imaginary unit, index of summation, jitter, Jacobian determinant, imaginary part
\mathit{k},coefficient, constant, parameter, rate, index
\mathit{l},length,line,limit,logarithm,lemma
\mathit{m},mass,momentum,magnetic moment,molar concentration,mach number
\mathit{n},number,variable,index,sequence,function
\mathit{o},order of magnitude, optimization, objective function, order relation, optimal solution
\mathit{p},power,probability,pressure,perimeter,period
\mathit{q},torque,quaternion,quantity,quantity,qubit
\mathit{r},radius,vector position,correlation coefficient,rate of change,rotation matrix
\mathit{s},velocity,time,speed,distance,displacement
\mathit{t},time,temperature,tensor,toxin,tangent
\mathit{u},velocity,unit vector,variable,uncertainty,derivative
\mathit{v},velocity, volume, voltage, variance, velocity gradient
\mathit{w},work, weight, width, wind, wavelength
\mathit{x},variable, parameter, function, coordinate, scalar
\mathit{y},function,variable,coordinate,dependent,italic
\mathit{z},complex variable,impedance function,dependent variable,coordinate,vectorize
\bm{A},matrix,algebra,operator,vector,function
\bm{B},field,black hole,block matrix,Bohr radius,bandwidth
\bm{C},vector,current density tensor,concentration,cone angle,material constitutive matrix
\bm{D},derivative operator,displacement vector,dose,divergence operator,dimension
\bm{E},energy,distribution,expectation operator,vector field
\bm{F},force,vector field,flux density,fringe field,fundamental frequency
\bm{G},tensor,gradient,magnetic field,vector,group
\bm{H},Hamiltonian, magnetic field, homogeneous transformation, Higgs field, Hessian matrix
\bm{I},vector field,identity matrix,imaginary unit,vector of identity matrix,unit vector
\bm{J},Jacobian matrix, joint variable, magnetic flux density, Joule's law
\bm{K},stress tensor, wave vector, stiffness matrix, Coulomb constant, Komogorov scale
\bm{L},linear algebra, Lagrangian, Lagrange multiplier,  likelihood function, Laplacian
\bm{M},matrix,magnitude,mean,momentum,magnetic field
\bm{N},normal force,Newton,principal normal,radian,flat normal
\bm{O},operator,origin,orthogonal,object,operator symbol
\bm{P},power,probability density function,pressure,principal stress,permutation matrix
\bm{Q},quantum mechanics,quantum field theory,heat equation,quantum numbers,quantization
\bm{R},matrix,rotation,vector,field,rank
\bm{S},dot product,standard deviation,summation,subspace,vector space
\bm{T},matrix transformation, tensor, temperature, torque, stress
\bm{U},vector, matrix, operator, field, set
\bm{V},vector,velocity,variable,volume,velocity vector
\bm{W},work,weight,wavelength,omega,wave function
\bm{X},vector,matrix,tensor,random variable,parameter
\bm{Y},matrix,yield strength,parameter,vector,variable
\bm{Z},zeta function,Z plane,impedance,Z transform,partial impedance,partition function
\bm{a},vector,acceleration,constant,velocity,accelerometer
\bm{b},vector, bold symbol, magnetic field, Bayesian approach, regression coefficient
\bm{c},vector,constant,curl,covector,center
\bm{d},differential equation,distance,vector,derivative,gradient
\bm{e},vector,basis,unit vector,standard basis,standard unit vector
\bm{f},function,vector field,forces,frequency,formatting
\bm{g},vector function,gravitational field unit vector,metric tensor,index notation,geometric algebra
\bm{h},vector,field,Hamiltonian,function,potential
\bm{i},imaginary unit, index set, inertia tensor, ionization energy, ion-current density
\bm{j},magnetic field vector,current density,quantum angular momentum,vector potential in electromagnetism
\bm{k},vector, wave number, spring constant, magnetic susceptibility, Boltzmann constant
\bm{l},vector,unit vector,eigenvalue,eigenvector,angular momentum
\bm{m},magnetic moment, mass, momentum, magnetization, modulus
\bm{n},vector normal,unit vector,nth term,number of samples,estimation step size
\bm{o},vector field, origin point, unit vector, coordinate vector, open set
\bm{p},probability,distribution,function,vector,parameter
\bm{q},vector, quantity, position, wave function, momentum
\bm{r},position vector, radius vector, displacement vector, unit vector, magnetic field vector
\bm{s},vector,magnitude of the spin,spin operator,spin quantum number,spin angular momentum
\bm{t},torque,time,temperature,tension,tangent
\bm{u},vector,unit vector,velocity,displacement,acceleration
\bm{v},vector,velocity,velocity field,velocity gradient,velocity vector
\bm{w},vector,magnitude,angular velocity,angular frequency,angular momentum
\bm{x},vector,variable,point,function,position
\bm{y},vector,scalar,tensor,matrix,normalization
\bm{z},vector,matrix,complex number,function,gradient
\mathcal{A},algebra,action,approximation,annulus,automorphism
\mathcal{C},curve,complexity class,continuous function,convergence,covariance matrix
\mathcal{D},vector space,derivative operator,deformation gradient tensor,density function,probability distribution
\mathcal{G},group,graph,gradient,generalization,gaussian
\mathcal{J},Jacobian matrix, optimization problem, cost function, machine learning algorithm, neural network
\mathcal{K},kernel function,complement set,curvature tensor,clifford algebra,cooking number
\mathcal{N},normal distribution, set of natural numbers, number of samples, normal subgroup, nullspace
\mathcal{O},order,oracle,optimization,operator,overfitting
\mathcal{P},power set,probability space,projection operator,probability distribution,partition
\mathcal{Q},field of rational numbers, feature set, statistical distribution, query formula, quaternion
\mathcal{S},manifold,subgroup,symmetric group,surface,vector space
\mathcal{T},transformation matrix,tensor field,topology,training set,tangent space
\mathcal{U},set,unitary matrix,uniform distribution,uncertainty quantification,unitary group
\mathcal{V},vector space,volume function,variety,volume element,vector field
\mathcal{W},work,well-posed problem,Wronskian,Weierstrass function,work-energy principle
\mathcal{X},random variable,set of points,vector space,algebra of operators,characteristic function
\mathcal{Y},gradient operator, vector space, indexing set, integration domain, optimization algorithm
\mathcal{Z},Z-transform,equivalence classes,invariant dimension,probability distribution,partition function
\mathcal{a},tensor,algebraic structure,set of automorphisms,module,abelian group
\mathcal{b},braid group, Bernoulli number, branch cut, boldface, Bargmann space
\mathcal{c},continuity,complex numbers,constant,convergence,covariance
\mathcal{d},differential operator,Hamiltonian density function,Hausdorff dimension,derivative operator,determinant of a matrix
\mathcal{f},function,field,frequency,fourier transform,free energy
\mathcal{h},Hamiltonian function, Hilbert space, Higgs field, Hubble parameter, Heaviside step function
\mathcal{i},imaginary unit,indicator function,information matrix,index set,integration variable
\mathcal{j},complex unit,radiant intensity,current density.permittivity of free space,imaginary unit
\mathcal{k},Boltzmann constant,wavenumber(s),conduction coefficient,spring constant,dielectric susceptibility
\mathcal{l},Lagrangian, likelihood function, L-embedding, linear code, logarithm
\mathcal{m},mass, magnetic field, modulus, momentum, magnetic moment
\mathcal{n},normal distribution, integer, natural number, image, unit normal vector
\mathcal{p},probability density function, power set, prime ideal, projection operator, pressure-sensitive paint
\mathcal{q},quantum state,qubit,qutrit,quantum computing,qiskit
\mathcal{r},radius,vector field,reflection operator,region of interest,rotation matrix
\mathcal{s},symmetry group, state space, solution space, sample space, spin angular momentum
\mathcal{t},temperature, time constant, torque, tangent, transformation
\mathcal{u},unitary matrix,uniform distribution,unbiased estimator,uncertainty principle,upper bound
\mathcal{v},vector space,velocity,variety,volume,function
\mathcal{w},work,weight,wavelength,wind speed,wall temperature
\mathcal{x},set,variable,field,space,vector
\mathcal{y},output variable,regression function,risk function,error function,dependent variable
\mathcal{z},z-transform,complex variable,domain set,pattern recognition,system dynamics
\bm{\mathcal{A}},operator,algebra,approximation,analysis,activation
\bm{\mathcal{B}},basis,vector space,operator,algebra,signal
\bm{\mathcal{C}},curvature tensor,conserved quantity,commutative algebra,charge density,channel coding
\bm{\mathcal{D}},differential operator,decision boundary,density matrix,Dirichlet distribution,derivative
\bm{\mathcal{E}},energy tensor, elastic modulus, electric field vector, curvature tensor, Einstein field equations
\bm{\mathcal{F}},Fourier transform, frequency domain, phase space, magnetic field, Fock space
\bm{\mathcal{G}},group,generator,graph,gaussian density,gradient
\bm{\mathcal{H}},operators,Hamiltonian,Hilbert space,Hermitian matrix,entropy
\bm{\mathcal{I}},ideal gas constant,intensity matrix,information set,current density vector,impulse response matrix
\bm{\mathcal{J}},Jacobian, Jacobian matrix, critical point, Jacobian determinant, Jacobian transformation
\bm{\mathcal{K}},operator,positive definite matrix,Kelvin,curvature,constitutive tensor
\bm{\mathcal{L}},Lagrangian, Laplace transform, Lebesgue integral, Lie derivative
\bm{\mathcal{M}},matrix,moment,manifold,mass,magnetization
\bm{\mathcal{N}},normal distribution, neural network, natural numbers, normal force, noise level
\bm{\mathcal{O}},big O notation,order of magnitude,function growth rate,complexity classes,asymptotic behavior
\bm{\mathcal{P}},power set,momentum operator,probability distribution,optimal control,prime ideals
\bm{\mathcal{Q}},field of rational numbers,heat transfer rate,quadratic form,quantum field theory,quadratic equation
\bm{\mathcal{R}},vector space,real numbers,set of rational numbers,real part,function space
\bm{\mathcal{S}},space, surface, set, subgroup, system
\bm{\mathcal{T}},operator,transformation, tensor, space, distribution
\bm{\mathcal{U}},union,unitary matrix,universal set,vector field
\bm{\mathcal{V}},vector space,velocity,velocity field,vertex,Volterra operator
\bm{\mathcal{W}},Norm of a vector, work done by a force, set of all possible outcomes, set of polynomials, mean of a random variable
\bm{\mathcal{X}},vector space,random variable,optimization problem,feature space,loss function
\bm{\mathcal{Y}},matrix,feature vector,parameter set,decision boundary,loss function
\bm{\mathcal{Z}},Z-transform,polynomial coefficients,system transfer function,input signals,output signals
\bm{\mathcal{a}},magnetic vector potential,acceleration,magnetic field,integral constant,normal vector
